"ISF Digital Object Identifier"|"Photograph Identification Number"|"Thumbnail Header"|"Photo Descriptive Title"|"Photograph Description"|"Ancient Text Represented "|"ISF Assigned Text Number"|"Text Division"|"Text Sub-Division"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Type of Item Catalogued"|"Photo Text or Publication Number Note"|"Date of Photograph"|"Photographer"|"Photographer"|"Photographer"|"Photographer"|"Photographer"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Is Part Of WSR Project"|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number Note"|"Collaborator"|"Collaborator"|"Collaborator"|"Collaborator"|"Collaborator"|"Photo Dimensions"|"Magnification Code"|"Film Type Code"|"Date of Digital Conversion"|"Digital Object Format"|"Archival File Size"|"Archival File Resolution"|"Compressed Format Extension"|"Compression Ratio"|"Compression Routine"|"Digital Object Type Note"|"Digitization Equipment Specs"|"Rights Digital Object"|"Rights Photograph"|"Script Note"|"Script1"|"Script1 Sub-Level"|"Script2"|"Script2 Sub-Level"|"Script3"|"Script3 Sub-Level"|"Script4"|"Script4 Sub-Level"|"Language Note"|"Language"|"Language"|"Language"|"Language"|"ISF Find Site"|"Relevant Time Line"|"Named Time Period"|"Named Time Period"
"ISF_DO_00011"|"AT_87_B13_V_I"|"BM 47.218.13 V IR"|"BM 47.218.13 Verso infrared"|"BM 47.218.13 Verso infrared"|"TAD D1.12"|"ISF_TXT_00080"|||||||||||||"image"|"TAD D1.12; Kraeling 16"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.13"|||||||||||||||||||||||||"BM 47.218.13"||||||"120 (2 1/4  x 1 5/8 in)"|1|3|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|10:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine/Syene"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00012"|"AT_87_B13_VD_T"|"BM 47.218.13 V dt"|"BM 47.218.13 Verso detail (16a)"|"BM 47.218.13 Verso detail (16a)"|"TAD D1.12"|"ISF_TXT_00080"|||||||||||||"image"|"TAD D1.12; Kraeling 16"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.13"|||||||||||||||||||||||||"BM 47.218.13"||||||"120 (2 1/4  x 1 5/8 in)"|3|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine/Syene"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00013"|"AT_87_B150_R_T"|"BM 47.218.150+97 R"|"BM 47.218.150+97 Recto "|"BM 47.218.150+97 Recto "|"TAD B3.8"|"ISF_TXT_00059"|||||||||||||"image"|"TAD B3.8; Kraeling 7, 15, 18/1, 3,8,13,18,19,22,26,30"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.150+97"|||||||||||||||||||||||||"BM 47.218.150+97"||||||"4 x 5 in"|1|1|01-11-2000|"image/tiff"||"1000 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00014"|"AT_87_B150_V_T"|"BM 47.218.150+97 V"|"BM 47.218.150+97 Verso"|"BM 47.218.150+97 Verso"|"TAD B3.8"|"ISF_TXT_00059"|||||||||||||"image"|"TAD B3.8; Kraeling 7, 15, 18/1, 3,8,13,18,19,22,26,30"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.150+97"|||||||||||||||||||||||||"BM 47.218.150+97"||||||"4 x 5 in"|1|1|01-11-2000|"image/tiff"||"1000 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00015"|"AT_87_B155_R_T"|"BM 47.218.155 R"|"BM 47.218.155 Recto"|"BM 47.218.155 Recto"|"TAD B3.8"|"ISF_TXT_00059"|||||||||||||"image"|"TAD B3.8; Kraeling 7, 15, 18/1, 3,8,13,18,19,22,26,30"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.155 frgs : TAD B3.8"|"BM 47.218.155 frg 4 : TAD B3.2"|"BM 47.218.155 frgs : Krael 18"|||||||||||||||||||||||"BM 47.218.155 frgs 1-22,26,30"||||||"120 (2 1/4  x 1 5/8 in)"|1|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00015"|"AT_87_B155_R_T"||||"TAD B3.2"|"ISF_TXT_00053"||||||||||||||"TAD B3.2; Kraeling 1, 18/4"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00015"|"AT_87_B155_R_T"||||"Kraeling 18 frgs"|"ISF_TXT_00001"||||||||||||||"Kraeling 18 frgs 2, 5-7, 9-12, 14-17, 20-21, 23-25, 27-29, 31"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00016"|"AT_87_B151_R_T"|"BM 47.218.151 R"|"BM 47.218.151 Recto"|"BM 47.218.151 Recto"|"TAD A3.9"|"ISF_TXT_00042"|||||||||||||"image"|"TAD A3.9; Kraeling 13"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.151"|||||||||||||||||||||||||"BM 47.218.151"||||||"4 x 5 in"|1|1|01-11-2000|"image/tiff"||"1000 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00017"|"AT_87_B151_RD_T"|"BM 47.218.151 dt"|"BM 47.218.151 Detail "|"BM 47.218.151 Detail "|"TAD A3.9"|"ISF_TXT_00042"|||||||||||||"image"|"TAD A3.9; Kraeling 13"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.151"|||||||||||||||||||||||||"BM 47.218.151"||||||"120 (2 1/4  x 1 5/8 in)"|3|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00018"|"AT_87_B151_RD_I"|"BM 47.218.151 dt IR"|"BM 47.218.151 Detail infrared "|"BM 47.218.151 Detail infrared "|"TAD A3.9"|"ISF_TXT_00042"|||||||||||||"image"|"TAD A3.9; Kraeling 13"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.151"|||||||||||||||||||||||||"BM 47.218.151"||||||"120 (2 1/4  x 1 5/8 in)"|3|3|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|10:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00019"|"AT_87_B151_V_T"|"BM 47.218.151 V"|"BM 47.218.151 Verso"|"BM 47.218.151 Verso"|"TAD A3.9"|"ISF_TXT_00042"|||||||||||||"image"|"TAD A3.9; Kraeling 13"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.151"|||||||||||||||||||||||||"BM 47.218.151"||||||"4 x 5 in"|1|1|01-11-2000|"image/tiff"||"1000 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00020"|"AT_87_B152_R_T"|"BM 47.218.152 R"|"BM 47.218.152 Recto   "|"BM 47.218.152 Recto   "|"TAD B3.2"|"ISF_TXT_00053"|||||||||||||"image"|"TAD B3.2; Kraeling 1, 18/4"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.152"|||||||||||||||||||||||||"BM 47.218.152"||||||"4 x 5 in"|1|1|01-11-2000|"image/tiff"||"1000 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00021"|"AT_87_B152_RD1_T"|"BM 47.218.152 dt 1"|"BM 47.218.152 Detail 1"|"BM 47.218.152 Detail 1"|"TAD B3.2"|"ISF_TXT_00053"|||||||||||||"image"|"TAD B3.2; Kraeling 1, 18/4"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.152"|||||||||||||||||||||||||"BM 47.218.152"||||||"120 (2 1/4  x 1 5/8 in)"|3|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00022"|"AT_87_B152_RD2_T"|"BM 47.218.152 dt 2"|"BM 47.218.152 Detail 2 "|"BM 47.218.152 Detail 2 "|"TAD B3.2"|"ISF_TXT_00053"|||||||||||||"image"|"TAD B3.2; Kraeling 1, 18/4"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.152"|||||||||||||||||||||||||"BM 47.218.152"||||||"120 (2 1/4  x 1 5/8 in)"|3|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00023"|"AT_87_B152_RD3_T"|"BM 47.218.152 dt 3"|"BM 47.218.152 Detail 3"|"BM 47.218.152 Detail 3"|"TAD B3.2"|"ISF_TXT_00053"|||||||||||||"image"|"TAD B3.2; Kraeling 1, 18/4"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.152"|||||||||||||||||||||||||"BM 47.218.152"||||||"120 (2 1/4  x 1 5/8 in)"|3|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00025"|"AT_87_B153_R_T"|"BM 47.218.153 R"|"BM 47.218.153 Recto"|"BM 47.218.153 Recto"|"TAD C3.16"|"ISF_TXT_00075"|||||||||||||"image"|"TAD C3.16; Kraeling 17"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.153"|||||||||||||||||||||||||"BM 47.218.153"||||||"120 (2 1/4  x 1 5/8 in)"|1|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00026"|"AT_87_B153_V_T"|"BM 47.218.153 V"|"BM 47.218.153 Verso"|"BM 47.218.153 Verso"|"TAD C3.16"|"ISF_TXT_00075"|||||||||||||"image"|"TAD C3.16; Kraeling 17"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.153"|||||||||||||||||||||||||"BM 47.218.153"||||||"120 (2 1/4  x 1 5/8 in)"|1|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00027"|"AT_87_B32_R_T"|"BM 47.218.32 R"|"BM 47.218.32 Recto"|"BM 47.218.32 Recto"|"TAD B3.7"|"ISF_TXT_00058"|||||||||||||"image"|"TAD B3.7; Kraeling 6 "|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.32"|||||||||||||||||||||||||"BM 47.218.32"||||||"4 x 5 in"|1|1|01-11-2000|"image/tiff"||"1000 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
