"ISF Corpus Identification Number"|"Corpus Name"|"Corpus Description"|"Corpus Category"|"Corpus Category Sequencing Number"|"Corpus Sub-Category"|"Corpus Sub-Category Sequencing Number"
"ISF_CRP_0009"|"Numismatic Inscriptions"|"Coins from the Ancient World"|"Other Numismatic Inscriptions"|5||
"ISF_CRP_0010"|"Ur III Cuneiform Tablets"|"Non-alphabetic cuneiform texts from the Ur III Period."|"Sumerian Tablets"|1||
"ISF_CRP_0010"|"Ur III Cuneiform Tablets"|"Non-alphabetic cuneiform texts from the Ur III Period."|"Old Babylonian Tablets"|2||
"ISF_CRP_0011"|"Monumental Inscriptions"|"Lapidary and monumental inscriptions in Non-Northwest Semitic languages and scripts."|"Egyptian"|1||
"ISF_CRP_0012"|"Non-Text Artifacts"|"Non-text objects, uninscribed and glyptic"|"Glass"|1||
"ISF_CRP_0012"|"Non-Text Artifacts"|"Non-text objects, uninscribed and glyptic"|"Figurines and Portraits"|2||
"ISF_CRP_0012"|"Non-Text Artifacts"|"Non-text objects, uninscribed and glyptic"|"Sealings and Seal Impressions"|3||
"ISF_CRP_0012"|"Non-Text Artifacts"|"Non-text objects, uninscribed and glyptic"|"Jewelry"|5||
"ISF_CRP_0012"|"Non-Text Artifacts"|"Non-text objects, uninscribed and glyptic"|"Pottery and Clay Objects"|6||
"ISF_CRP_0012"|"Non-Text Artifacts"|"Non-text objects, uninscribed and glyptic"|"Seals"|7||
"ISF_CRP_0013"|"Northwest Semitic Amulets and Incantations"|"Magical and apotropaic texts in Northwest Semitic languages and scripts"|"Incantation Bowls"|1||
"ISF_CRP_0013"|"Northwest Semitic Amulets and Incantations"|"Magical and apotropaic texts in Northwest Semitic languages and scripts"|"Metal Scrolls"|2||
"ISF_CRP_0013"|"Northwest Semitic Amulets and Incantations"|"Magical and apotropaic texts in Northwest Semitic languages and scripts"|"Other amulets"|3||
"ISF_CRP_0014"|"Inscribed Objects, Miscellaneous"|"Objects with Northwest and Non-Northwest Semitic languages on miscellaneous media"|"Northwest Semitic Inscriptions"|1||
"ISF_CRP_0014"|"Inscribed Objects, Miscellaneous"|"Objects with Northwest and Non-Northwest Semitic languages on miscellaneous media"|"Non-Northwest Semitic Inscriptions"|2||
"ISF_CRP_0015"|"Non-Alphabetic Cuneiform Texts"|"Non-alphabetic cuneiform texts, including Babylonian, Akkadian, Assyrian and Sumerian"|"Non-Classified"|4||
