"Alternate Text or Publication Number"|"ISF Assigned Text Number"|"Main Text or Publication Number"|"Text Descriptive Title"|"Alternate Text or Publication Number Prefix"|"Alternate Text or Publication Number Suffix"
"Kraeling 9"|"ISF_TXT_00049"|"TAD B3.10"|"Bequest in Contemplation of Death"|"Kraeling"|"9"
"Kraeling 10"|"ISF_TXT_00050"|"TAD B3.11"|"Dowry Addendum"|"Kraeling"|"10"
"Kraeling 12"|"ISF_TXT_00051"|"TAD B3.12"|"Sale of Apartment to Son in law"|"Kraeling"|"12"
"Kraeling 11"|"ISF_TXT_00052"|"TAD B3.13"|"Loan of Grain"|"Kraeling"|"11"
"Kraeling 1"|"ISF_TXT_00053"|"TAD B3.2"|"Withdrawal from hyr)"|"Kraeling"|"1"
"Kraeling 18/4"|"ISF_TXT_00053"|"TAD B3.2"|"Withdrawal from hyr)"|"Kraeling"|"18/4"
"Kraeling 2"|"ISF_TXT_00054"|"TAD B3.3"|"Document of Wifehood"|"Kraeling"|"2"
"Kraeling 3"|"ISF_TXT_00055"|"TAD B3.4"|"Sale of Abandoned Property"|"Kraeling"|"3"
"Kraeling 4"|"ISF_TXT_00056"|"TAD B3.5"|"Bequest of Apartment to Wife"|"Kraeling"|"4"
"Kraeling 5"|"ISF_TXT_00057"|"TAD B3.6"|"Testamentary Manumission"|"Kraeling"|"5"
"Kraeling 6 "|"ISF_TXT_00058"|"TAD B3.7"|"A Life Estate of Usufruct"|"Kraeling"|"6"
"Kraeling 7"|"ISF_TXT_00059"|"TAD B3.8"|"Document of Wifehood"|"Kraeling"|"7"
"Kraeling 15"|"ISF_TXT_00059"|"TAD B3.8"|"Document of Wifehood"|"Kraeling"|"15"
"Kraeling 18/1,3,8,13,18,19,22,26,30"|"ISF_TXT_00059"|"TAD B3.8"|"Document of Wifehood"|"Kraeling"|"18/1,3,8,13,18,19,22,26,30"
"Kraeling 8"|"ISF_TXT_00060"|"TAD B3.9"|"Adoption"|"Kraeling"|"8"
"Cowley 2"|"ISF_TXT_00062"|"TAD B4.4"|"Obligation to Deliver Grain"|"Cowley"|"2"
"Sachau Pl. 25"|"ISF_TXT_00062"|"TAD B4.4"|"Obligation to Deliver Grain"|"Sachau Pl."|"25"
"Sachau Pl. 26"|"ISF_TXT_00062"|"TAD B4.4"|"Obligation to Deliver Grain"|"Sachau Pl."|"26"
"Sachau Pap 25"|"ISF_TXT_00062"|"TAD B4.4"|"Obligation to Deliver Grain"|"Sachau Pap"|"25"
"Ungnad 27"|"ISF_TXT_00062"|"TAD B4.4"|"Obligation to Deliver Grain"|"Ungnad"|"27"
"Cowley 35"|"ISF_TXT_00063"|"TAD B4.6"|"Deed of Obligation"|"Cowley"|"35"
"Sachau Pl. 34"|"ISF_TXT_00063"|"TAD B4.6"|"Deed of Obligation"|"Sachau Pl."|"34"
"Sachau Pap 35"|"ISF_TXT_00063"|"TAD B4.6"|"Deed of Obligation"|"Sachau Pap"|"35"
"Ungnad 37"|"ISF_TXT_00063"|"TAD B4.6"|"Deed of Obligation"|"Ungnad"|"37"
"Cowley 1"|"ISF_TXT_00064"|"TAD B5.1"|"Exchange of Inherited Shares"|"Cowley"|"1"
"Sachau Pl. 30"|"ISF_TXT_00064"|"TAD B5.1"|"Exchange of Inherited Shares"|"Sachau Pl."|"30"
"Sachau Pap 30"|"ISF_TXT_00064"|"TAD B5.1"|"Exchange of Inherited Shares"|"Sachau Pap"|"30"
"Ungnad 31"|"ISF_TXT_00064"|"TAD B5.1"|"Exchange of Inherited Shares"|"Ungnad"|"31"
"Cowley 65/3"|"ISF_TXT_00065"|"TAD B5.2"|"Fragments from Document of Withdrawal"|"Cowley"|"65/3"
"Cowley 67/3,5"|"ISF_TXT_00065"|"TAD B5.2"|"Fragments from Document of Withdrawal"|"Cowley"|"67/3,5"
"Sachau Pl. 58/3"|"ISF_TXT_00065"|"TAD B5.2"|"Fragments from Document of Withdrawal"|"Sachau Pl."|"58/3"
"Sachau Pl. 60/3,5"|"ISF_TXT_00065"|"TAD B5.2"|"Fragments from Document of Withdrawal"|"Sachau Pl."|"60/3,5"
"Sachau 71/3"|"ISF_TXT_00065"|"TAD B5.2"|"Fragments from Document of Withdrawal"|"Sachau"|"71/3"
"Sachau 73/5"|"ISF_TXT_00065"|"TAD B5.2"|"Fragments from Document of Withdrawal"|"Sachau"|"73/3,5"
"Ungnad 71"|"ISF_TXT_00065"|"TAD B5.2"|"Fragments from Document of Withdrawal"|"Ungnad"|"71"
"Ungnad 73"|"ISF_TXT_00065"|"TAD B5.2"|"Fragments from Document of Withdrawal"|"Ungnad"|"73"
"Kraeling 14"|"ISF_TXT_00067"|"TAD B6.1"|"Beginning of a Document of Wifehood"|"Kraeling"|"14"
"Cowley 18"|"ISF_TXT_00068"|"TAD B6.4"|"End of Document of Wifehood"|"Cowley"|"18"
"Sachau Pl. 33"|"ISF_TXT_00068"|"TAD B6.4"|"End of Document of Wifehood"|"Sachau Pl."|"33"
"Sachau Pap 33"|"ISF_TXT_00068"|"TAD B6.4"|"End of Document of Wifehood"|"Sachau Pap"|"33"
"Ungnad 36"|"ISF_TXT_00068"|"TAD B6.4"|"End of Document of Wifehood"|"Ungnad"|"36"
"Cowley 45"|"ISF_TXT_00069"|"TAD B7.3"|"Oath Text"|"Cowley"|"45"
"Sachau Pl. 32"|"ISF_TXT_00069"|"TAD B7.3"|"Oath Text"|"Sachau Pl."|"32"
"Sachau Pap 36"|"ISF_TXT_00069"|"TAD B7.3"|"Oath Text"|"Sachau Pap"|"36"
"Ungnad 34"|"ISF_TXT_00069"|"TAD B7.3"|"Oath Text"|"Ungnad"|"34"
"Cowley 69"|"ISF_TXT_00070"|"TAD B8.5"|"Court Record re Ren Imprisonment Payment"|"Cowley"|"69"
"Sachau Pl. 51"|"ISF_TXT_00070"|"TAD B8.5"|"Court Record re Ren Imprisonment Payment"|"Sachau Pl."|"51"
"Sachau Pap 60"|"ISF_TXT_00070"|"TAD B8.5"|"Court Record re Ren Imprisonment Payment"|"Sachau Pap"|"60"
"Ungnad 64"|"ISF_TXT_00070"|"TAD B8.5"|"Court Record re Ren Imprisonment Payment"|"Ungnad"|"64"
"Sachau Pl. 40"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pl."|"40"
"Sachau Pl. 41"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pl."|"41"
"Sachau Pl. 42"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pl."|"42"
"Sachau Pl. 43"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pl."|"43"
"Sachau Pl. 45"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pl."|"45"
"Sachau Pl. 46"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pl."|"46"
"Sachau Pl. 47"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pl."|"47"
"Sachau Pl. 48"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pl."|"48"
"Sachau Pl. 49"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pl."|"49"
"Sachau Pl. 50"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pl."|"50"
"Sachau Pap 49"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pap"|"49"
"Sachau Pap 50"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pap"|"50"
"Sachau Pap 51"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pap"|"51"
"Sachau Pap 52"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pap"|"52"
"Sachau Pap 54"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pap"|"54"
"Sachau Pap 55"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pap"|"55"
"Sachau Pap 56"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pap"|"56"
"Sachau Pap 57"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pap"|"57"
"Sachau Pap 58"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pap"|"58"
"Sachau Pap 59"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pap"|"59"
"Sachau Pap 64/23,28"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Sachau Pap"|"64/23,28"
"Ungnad 50"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"50"
"Ungnad 51"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"51"
"Ungnad 52"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"52"
"Ungnad 53"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"53"
"Ungnad 54"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"54"
"Ungnad 56"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"56"
"Ungnad 57"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"57"
"Ungnad 58"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"58"
"Ungnad 59"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"59"
"Ungnad 60"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"60"
"Ungnad 61"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"61"
"Ungnad 62"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"62"
"Ungnad 63"|"ISF_TXT_00071"|"TAD C1.1"|"Ahiqar "|"Ungnad"|"63"
"Sachau Pl. 52"|"ISF_TXT_00072"|"TAD C2.1"|"Bisitun Inscription"|"Sachau Pl."|"52"
"Sachau Pl. 54"|"ISF_TXT_00072"|"TAD C2.1"|"Bisitun Inscription"|"Sachau Pl."|"54"
"Sachau Pl. 55"|"ISF_TXT_00072"|"TAD C2.1"|"Bisitun Inscription"|"Sachau Pl."|"55"
"Sachau Pl. 56"|"ISF_TXT_00072"|"TAD C2.1"|"Bisitun Inscription"|"Sachau Pl."|"56"
"Sachau Pl. 57"|"ISF_TXT_00072"|"TAD C2.1"|"Bisitun Inscription"|"Sachau Pl."|"57"
"Sachau Pap 61"|"ISF_TXT_00072"|"TAD C2.1"|"Bisitun Inscription"|"Sachau Pap"|"61"
"Sachau Pap 62"|"ISF_TXT_00072"|"TAD C2.1"|"Bisitun Inscription"|"Sachau Pap"|"62"
"Ungnad 65"|"ISF_TXT_00072"|"TAD C2.1"|"Bisitun Inscription"|"Ungnad"|"65"
"Ungnad 66"|"ISF_TXT_00072"|"TAD C2.1"|"Bisitun Inscription"|"Ungnad"|"66"
"Ungnad 67"|"ISF_TXT_00072"|"TAD C2.1"|"Bisitun Inscription"|"Ungnad"|"67"
"Ungnad 68D"|"ISF_TXT_00072"|"TAD C2.1"|"Bisitun Inscription"|"Ungnad"|"68D"
"Cowley 61"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Cowley"|"61"
"Cowley 62"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Cowley"|"62"
"Cowley 63"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Cowley"|"63"
"Sachau Pl. 53"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Sachau Pl."|"53"
"Sachau Pl. 55"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Sachau Pl."|"55"
"Sachau Pl. 56"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Sachau Pl."|"56"
"Sachau Pap 61v"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Sachau Pap"|"61v"
"Sachau Pap 62v"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Sachau Pap"|"62v"
"Sachau 68"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Sachau"|"68"
"Ungnad 67ii"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Ungnad"|"67ii"
"Ungnad 68E"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Ungnad"|"68E"
"Ungnad 69"|"ISF_TXT_00073"|"TAD C3.13"|"Fragmentary Record of Memoranda"|"Ungnad"|"69"
"Cowley 22"|"ISF_TXT_00074"|"TAD C3.15"|"Collection Account"|"Cowley"|"22"
"Sachau Pl. 17"|"ISF_TXT_00074"|"TAD C3.15"|"Collection Account"|"Sachau Pl."|"17"
"Sachau Pl. 18"|"ISF_TXT_00074"|"TAD C3.15"|"Collection Account"|"Sachau Pl."|"18"
"Sachau Pl. 19"|"ISF_TXT_00074"|"TAD C3.15"|"Collection Account"|"Sachau Pl."|"19"
"Sachau Pl. 20"|"ISF_TXT_00074"|"TAD C3.15"|"Collection Account"|"Sachau Pl."|"20"
"Sachau Pap 18"|"ISF_TXT_00074"|"TAD C3.15"|"Collection Account"|"Sachau Pap"|"18"
"Ungnad 19"|"ISF_TXT_00074"|"TAD C3.15"|"Collection Account"|"Ungnad"|"19"
"Kraeling 17"|"ISF_TXT_00075"|"TAD C3.16"|"Fragmentary Account re Grain"|"Kraeling"|"17"
"Sachau Pl. 40"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pl."|"40"
"Sachau Pl. 41"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pl."|"41"
"Sachau Pl. 42"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pl."|"42"
"Sachau Pl. 43"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pl."|"43"
"Sachau Pl. 45"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pl."|"45"
"Sachau Pl. 46"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pl."|"46"
"Sachau Pl. 47"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pl."|"47"
"Sachau Pl. 48"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pl."|"48"
"Sachau Pl. 49"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pl."|"49"
"Sachau Pl. 50"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pl."|"50"
"Sachau Pap 49"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pap"|"49"
"Sachau Pap 50"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pap"|"50"
"Sachau Pap 51"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pap"|"51"
"Sachau Pap 52"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pap"|"52"
"Sachau Pap 54"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pap"|"54"
"Sachau Pap 55"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pap"|"55"
"Sachau Pap 56"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pap"|"56"
"Sachau Pap 57"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pap"|"57"
"Sachau Pap 58"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pap"|"58"
"Sachau Pap 59"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Sachau Pap"|"59"
"Ungnad 50"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"50"
"Ungnad 51"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"51"
"Ungnad 52"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"52"
"Ungnad 53"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"53"
"Ungnad 54"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"54"
"Ungnad 55"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"55"
"Ungnad 56"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"56"
"Ungnad 57"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"57"
"Ungnad 58"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"58"
"Ungnad 59"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"59"
"Ungnad 60"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"60"
"Ungnad 61"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"61"
"Ungnad 62"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"62"
"Ungnad 63"|"ISF_TXT_00077"|"TAD C3.7"|"Customs Account Ahiqar Palimpsest"|"Ungnad"|"63"
"Kraeling 16"|"ISF_TXT_00080"|"TAD D1.12"|"Letter; Fragments of a Papyrus Inscribed on Both Sides"|"Kraeling"|"16"
"Cowley 66/9"|"ISF_TXT_00082"|"TAD D1.14"|"Praescriptio from Letter Fragment"|"Cowley"|"66/9"
