"ISF Assigned Text Number"|"Main Text or Publication Number"|"Main Text or Publication Number Prefix"|"Main Text or Publication Number Suffix"|"Alternate Text or Publication Number"|"Text Search and Display Type Code"|"Text Division"|"Text Division Description"|"Text Division Museum Number"|"Text Sub-Division "|"Text or Publication Number Note"|"Physical Object Description"|"Physical Object Note"|"Physical Object Note"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Is Part Of Corpus1"|"Is Part Of Corpus1 Category"|"Is Part Of Corpus1 Sub-Category"|"Is Part Of Corpus2"|"Is Part Of Corpus2 Category"|"Is Part Of Corpus2 Sub-Category"|"Is Part Of Corpus3"|"Is Part Of Corpus3 Category"|"Is Part Of Corpus3 Sub-Category"|"Is Version of"|"Is Part of"|"Text, Uninscribed Artifact, or Glyptic"|"Type of Item Cataloged"|"Medium"|"Text Descriptive Title"|"Alternate Text Title"|"Alternate Text Title"|"Alternate Text Title"|"Alternate Text Title"|"Alternate Text Title"|"Text Description"|"Excavation Description"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Geographical Coverage Note"|"Script Note"|"Script1"|"Script1 Sub-Level"|"Script2"|"Script2 Sub-Level"|"Script3"|"Script3 Sub-Level"|"Script4"|"Script4 Sub-Level"|"Language Note"|"Language"|"Language"|"Language"|"Language"|"Relevant Time Line"|"Named Time Period"|"Named Time Period"|"Date of Inscription Note"|"Ancient City or Location"|"Ancient Structure"|"ISF Find Site"|"Modern City or Location"|"Modern Country"|"Region"|"Location of Original"|"Location of Original"|"Location of Original"|"Location of Original"|"Location of Original"|"Location of Original"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Index Map Filename"
"ISF_TXT_00101"|"TAD D1.9"|"TAD"|"D1.9"||4|||||"TAD D1.9; Cowley 68/9; Sachau 74/9; Sachau Pl. 61/9; Ungnad 74"|"P13461A, frg. 13461/9"|||"P13461A"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Letters"|"Other Letters"|||||||||"Text"|"Ancient Text"|"Papyrus"|"Praescriptio from Letter Fragment "|"Fragments of legal documents, letters and accounts"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"Second Half of 5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"Letters"|"praescriptio"|"legal"|"P13461A"|"Persian"||||||||||||||||
"ISF_TXT_00102"|"TAD D11.10"|"TAD"|"D11.10"||4|||||"TAD D11.10; Sachau 82/6; Sachau Pl. 69/6"|"P11442 "|||"P11442 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Jar Inscriptions"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"||"Northwest Semitic Ostraca"|"Aramaic Inscriptions"||||"Text"|"Ancient Text"|"Clay"|"Name"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic, Phoenician"|"Aramaic"|"Phoenician"|||"Syro-Palestinian"|"Persian"||"5th c. BCE?"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jar"|"Jewish"|"name"|"P11442 "|"Persian"||||||||||||||||||
"ISF_TXT_00103"|"TAD D11.11"|"TAD"|"D11.11"||4|||||"TAD D11.11; Sachau 84/11; Sachau Pl. 71/11"|"P11430 "|||"P11430 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Jar Inscriptions"||"Northwest Semitic Ostraca"|"Aramaic Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Name"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"5th c. BCE?"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jar"|"Jewish"|"name"|"P11430 "|"Persian"||||||||||||||||||
"ISF_TXT_00104"|"TAD D11.14"|"TAD"|"D11.14"||4|||||"TAD D11.14"|"P17807"|||"P17807"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Jar Inscriptions"||"Northwest Semitic Ostraca"|"Hebrew Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Name"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Hebrew"|"Hebrew"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jar"|"Jewish"|"P17807"|"Persian"|||||||||||||||||||
"ISF_TXT_00105"|"TAD D11.15"|"TAD"|"D11.15"||4|||||"TAD D11.15; Sachau 83/3; Sachau Pl. 70/3"|"P11412"|||"P11412"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Jar Inscriptions"||"Northwest Semitic Ostraca"|"Aramaic Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Potter's Mark"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jar"|"Jewish"|"potter's mark"|"P11412"|"Persian"||||||||||||||||||
"ISF_TXT_00106"|"TAD D11.16"|"TAD"|"D11.16"||4|||||"TAD D11.16; Sachau 85/17; Sachau Pl. 72/17"|"P11459 "|||"P11459 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Jar Inscriptions"||"Northwest Semitic Ostraca"|"Hebrew Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Name"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Hebrew"|"Hebrew"||||"Syro-Palestinian"|"Persian"||"5th c. BCE?"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jar"|"Jewish"|"name"|"P11459 "|"Persian"||||||||||||||||||
"ISF_TXT_00107"|"TAD D11.17"|"TAD"|"D11.17"||4|||||"TAD D11.17; Sachau 86/14; Sachau Pl. 73/14"|"P11416 "|||"P11416 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Jar Inscriptions"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"||"Northwest Semitic Ostraca"|"Aramaic Inscriptions"||||"Text"|"Ancient Text"|"Clay"|"Royal Standard Sign"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic, Phoenician"|"Aramaic"||"Phoenician"||||||"Aramaic, Phoenician"|"Aramaic"|"Phoenician"|||"Syro-Palestinian"|"Persian"||"5th c. BCE?"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jar"|"Jewish"|"royal standard"|"P11416 "|"Persian"||||||||||||||||||
"ISF_TXT_00108"|"TAD D11.18"|"TAD"|"D11.18"||4|||||"TAD D11.18; Sachau 86/12; Sachau Pl. 73/12"|"P11422 "|||"P11422 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Jar Inscriptions"||"Northwest Semitic Ostraca"|"Aramaic Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Royal Standard Sign"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"5th c. BCE?"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jar"|"Jewish"|"royal standard"|"P11422 "|"Persian"||||||||||||||||||
"ISF_TXT_00109"|"TAD D11.19"|"TAD"|"D11.19"||4|||||"TAD D11.19; Sachau 83/5; Sachau Pl. 70/5"|"P11360/17803+17805"|||"P11360 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Jar Inscriptions"||"Northwest Semitic Ostraca"|"Aramaic Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Notation"|||||||"Acquired by Ludwig Borchardt, 1907"|||||||||||"West bank of Nile River, approx. 15 miles SW of Cairo"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"Late 5th c. BCE?"|"Abusir"|"Temple of Sahure"|"Abusir"||"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jar"|"Jewish"|"notation"|"P11360 "|"Persian"||||||||||||||||||
"ISF_TXT_00110"|"TAD D11.20"|"TAD"|"D11.20"||4|||||"TAD D11.20; Sachau 85/1; Sachau Pl. 72/1"|"P11359/17804"|||"P11359"|"P17804"||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Jar Inscriptions"||"Northwest Semitic Ostraca"|"Aramaic Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Fragmentary Notation"|||||||"Acquired by Ludwig Borchardt, 1907"|||||||||||"West bank of Nile River, approx. 15 miles SW of Cairo"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"Late 5th c. BCE?"|"Abusir"|"Temple of Sahure"|"Abusir"||"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jar"|"Jewish"|"notation"|"P11359"|"P17804"|"Persian"|||||||||||||||||
"ISF_TXT_00111"|"TAD D11.6"|"TAD"|"D11.6"||4|||||"TAD D11.6; Sachau 84/9; Sachau Pl. 71/9"|"P11388/17806 "|||"P11388"|"P17806 "||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Jar Inscriptions"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"||"Northwest Semitic Ostraca"|"Aramaic Inscriptions"||||"Text"|"Ancient Text"|"Clay"|"Three Names"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic, Phoenician"|"Aramaic"||"Phoenician"||||||"Aramaic, Phoenician"|"Aramaic"|"Phoenician"|||"Syro-Palestinian"|"Persian"||"5th c. BCE?"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jar"|"Jewish"|"names"|"P11388"|"P17806 "|"Persian"|||||||||||||||||
"ISF_TXT_00112"|"TAD D11.9"|"TAD"|"D11.9"||4|||||"TAD D11.9; Sachau 84/6; Sachau Pl. 71/6"|"P11453bis "|||"P11453bis "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Jar Inscriptions"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"||"Northwest Semitic Ostraca"|"Hebrew Inscriptions"|"Other Hebrew Ostraca"|||"Text"|"Ancient Text"|"Clay"|"Name"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Hebrew, Phoenician"|"Hebrew"|"Phoenician"|||"Syro-Palestinian"|"Persian"||"5th c. BCE?"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jar"|"Jewish"|"name"|"P11453bis "|"Persian"||||||||||||||||||
"ISF_TXT_00113"|"TAD D12.1"|"TAD"|"D12.1"||4|||||"TAD D12.1; Sachau 79/2; Sachau Pl. 66/2"|"P11385 "|||"P11385 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Stone Plaques"||||||||||"Text"|"Ancient Text"|"Stone"|"List of Names"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"Second Half of 5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Jewish"|"list"|"names"|"P11385 "|"Persian"||||||||||||||||||
"ISF_TXT_00114"|"TAD D2.1"|"TAD"|"D2.1"||4|||||"TAD D2.1"|"P23107 "|||"P23107 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Contracts"|"Other Contracts"|||||||||"Text"|"Ancient Text"|"Papyrus"|"Beginning of Contract Fragment"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"484 BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"Contracts"|"P23107 "|"Persian"||||||||||||||||||
"ISF_TXT_00115"|"TAD D2.10"|"TAD"|"D2.10"||4|||||"TAD D2.10; Cowley 65/17+66/7,13-15; Sachau 71/17+72/7,13-15; Sachau Pl. 58/17+59/7,13-15; Ungnad 71"|"P13445B, frgs. 13445/7,13-15; 96/10,14,33,37,46,81"|||"P13445B"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Contracts"|"Other Contracts"|||||||||"Text"|"Ancient Text"|"Papyrus"|"Fragment of Conveyance"|"Fragments of legal documents"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"Last Quarter of 5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"Contracts"|"conveyance"|"legal"|"P13445B"|"Persian"||||||||||||||||
"ISF_TXT_00116"|"TAD D2.11"|"TAD"|"D2.11"||4|||||"TAD D2.11; Cowley 66/4; Sachau 72/4; Sachau Pl. 59/4; Ungnad 72"|"P13448, frgs 13445/4, 96/84,96"|||"P13448"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Contracts"|"Other Contracts"|||||||||"Text"|"Ancient Text"|"Papyrus"|"Fragment of Loan of Grain"|"Fragments of legal and similar documents"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"Last Quarter of 5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"Contracts"|"grain"|"loan"|"legal"|"P13448"|"Persian"|||||||||||||||
"ISF_TXT_00117"|"TAD D2.13"|"TAD"|"D2.13"||4|||||"TAD D2.13"|"P13461B, frg. 96/27"|||"P13461B"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Contracts"|"Other Contracts"|||||||||"Text"|"Ancient Text"|"Papyrus"|"Fragment of Conveyance or Document of Wifehood"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"Early 5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"Contracts"|"wifehood"|"marriage"|"P13461B"|"Persian"||||||||||||||||
"ISF_TXT_00118"|"TAD D2.14"|"TAD"|"D2.14"||4|||||"TAD D2.14; Cowley 65/6,10; Sachau 71/6,10; Sachau Pl. 58/6,10; Ungnad 71"|"P13444C, frgs. 13444/6,10; 96/19,29"|||"P13444C"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Contracts"|"Other Contracts"|||||||||"Text"|"Ancient Text"|"Papyrus"|"Fragment of Conveyance"|"Fragments of legal documents"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"First Half of 5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"Contracts"|"conveyance"|"legal"|"P13444C"|"Persian"||||||||||||||||
"ISF_TXT_00119"|"TAD D2.15"|"TAD"|"D2.15"||4|||||"TAD D2.15"|"P23114; "|||"P23114 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Contracts"|"Other Contracts"|||||||||"Text"|"Ancient Text"|"Papyrus"|"Fragment of Warranty Clause"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"First half 5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"Contracts"|"warrenty"|"P23114 "|"Persian"|||||||||||||||||
"ISF_TXT_00120"|"TAD D2.16"|"TAD"|"D2.16"||4|||||"TAD D2.16"|"P13461B, frg. 96/23"|||"P13461B"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Contracts"|"Other Contracts"|||||||||"Text"|"Ancient Text"|"Papyrus"|"Fragment of Document of Wifehood"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"ca. Middle of 5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"Contracts"|"wifehood"|"marriage"|"P13461B"|"Persian"||||||||||||||||
"ISF_TXT_00121"|"TAD D2.17"|"TAD"|"D2.17"||4|||||"TAD D2.17"|"P13461B, frg. 96/44"|||"P13461B"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Contracts"|"Other Contracts"|||||||||"Text"|"Ancient Text"|"Papyrus"|"Fragment of Document of Wifehood"|||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"Second Half of 5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"Contracts"|"wifehood"|"marriage"|"P13461B"|"Persian"||||||||||||||||
"ISF_TXT_00122"|"TAD D2.18"|"TAD"|"D2.18"||4|||||"TAD D2.18; Cowley 65/1; Sachau 71/1; Sachau Pl. 58/1 ; Ungnad 71"|"P13461B, frg. 13444/1"|||"P13461B"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Contracts"|"Other Contracts"|||||||||"Text"|"Ancient Text"|"Papyrus"|"Fragment of Loan or Deed of Obligation"|"Fragments of legal documents"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"Late 5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"Contracts"|"loan"|"legal"|"obligation"|"P13461B"|"Persian"|||||||||||||||
"ISF_TXT_00123"|"TAD D2.2"|"TAD"|"D2.2"||4|||||"TAD D2.2; Cowley 65/15; Sachau 71/15; Sachau Pl. 58/15; Ungnad 71"|"P13444B, frgs. 13444/15; 96/4,7"|||"P13444B"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Contracts"|"Other Contracts"|||||||||"Text"|"Ancient Text"|"Papyrus"|"Beginning of Contract Fragment"|"Fragments of legal documents"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"ca. February 20-March 21, 483 BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"Contracts"|"legal"|"P13444B"|"Persian"|||||||||||||||||
