"ISFDIGITALOBJECTIDENTIFIER"|"PHOTOGRAPHIDENTIFICATIONNO"|"THUMBNAILHEADER"|"PHOTODESCRIPTIVETITLE"|"PHOTOGRAPHDESCRIPTION"|"ANCIENTTEXTREPRESENTED"|"ISFASSIGNEDTEXTNO"|"TEXTDIVISION"|"TEXTDIVISIONSUBDIVISION"|"TEXTVIEW"|"TEXTVIEW1"|"TEXTVIEW2"|"TEXTVIEW3"|"TEXTVIEW4"|"TEXTVIEW5"|"TEXTVIEW6"|"TEXTVIEW7"|"TEXTVIEW8"|"TEXTVIEW9"|"TYPEOFITEMCATELOGED"|"PHOTOTEXTORPUBLCNNONOTE"|"DATEOFPHOTOGRAPH"|"PHOTOGRAPHER1"|"PHOTOGRAPHER2"|"PHOTOGRAPHER3"|"PHOTOGRAPHER4"|"PHOTOGRAPHER5"|"RIGHTSPHYSICALOBJECT"|"RIGHTSPHYSICALOBJECT1"|"RIGHTSPHYSICALOBJECT2"|"RIGHTSPHYSICALOBJECT3"|"RIGHTSPHYSICALOBJECT4"|"ISPARTOFWSRPROJECT"|"PHOTOMUSEUMACCESSIONNO"|"PHOTOMUSEUMACCESSIONNO1"|"PHOTOMUSEUMACCESSIONNO2"|"PHOTOMUSEUMACCESSIONNO3"|"PHOTOMUSEUMACCESSIONNO4"|"PHOTOMUSEUMACCESSIONNO5"|"PHOTOMUSEUMACCESSIONNO6"|"PHOTOMUSEUMACCESSIONNO7"|"PHOTOMUSEUMACCESSIONNO8"|"PHOTOMUSEUMACCESSIONNO9"|"PHOTOMUSEUMACCESSIONNO10"|"PHOTOMUSEUMACCESSIONNO11"|"PHOTOMUSEUMACCESSIONNO12"|"PHOTOMUSEUMACCESSIONNO13"|"PHOTOMUSEUMACCESSIONNO14"|"PHOTOMUSEUMACCESSIONNO15"|"PHOTOMUSEUMACCESSIONNO16"|"PHOTOMUSEUMACCESSIONNO17"|"PHOTOMUSEUMACCESSIONNO18"|"PHOTOMUSEUMACCESSIONNO19"|"PHOTOMUSEUMACCESSIONNO20"|"PHOTOMUSEUMACCESSIONNO21"|"PHOTOMUSEUMACCESSIONNO22"|"PHOTOMUSEUMACCESSIONNO23"|"PHOTOMUSEUMACCESSIONNO24"|"PHOTOMUSEUMACCESSIONNONOTE"|"COLABORATOR1"|"COLABORATOR2"|"COLABORATOR3"|"COLABORATOR4"|"COLABORATOR5"|"PHOTODIMENSIONS"|"MAGNIFICATIONCODE"|"FILMTYPECODE"|"DATEOFDIGITALCONVERSION"|"DIGITALOBJECTFORMAT"|"ARCHIVALFILESIZE"|"ARCHIVALFILERESOLUTION"|"COMPRESSEDFORMATEXTENSION"|"COMPRESSIONRATIO"|"COMPRESSIONROUTINE"|"DIGITALOBJECTTYPENOTE"|"DIGITIZATIONEQUIPMENTSPECS"|"RIGHTSDIGITALOBJECT"|"RIGHSPHOTOGRAPH"|"SCRIPTNOTE"|"SCRIPT"|"SCRIPTSUBLEVEL"|"SCRIPT1"|"SCRIPT1SUBLEVEL"|"SCRIPT2"|"SCRIPT2SUBLEVEL"|"SCRIPT3"|"SCRIPT3SUBLEVEL"|"LANGUAGENOTE"|"LANGUAGE"|"LANGUAGE1"|"LANGUAGE2"|"LANGUAGE3"|"ISFFINDSITE"|"RELEVANTTIMELINE"|"NAMEDTIMEPERIOD"|"NAMEDTIMEPERIOD1"|"MEDIUM"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52210"|"BIB_LENCDX_F027A_T"|"F27a Gen 43:9b-43:32a"|"Folio 27a Genesis 43:9b-43:32a"|"Firk. B19A Leningrad Codex, Folio 27a Genesis 43:9b-43:32a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Genesis"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52211"|"BIB_LENCDX_F027B_T"|"F27b Gen 43:32b-44:23a"|"Folio 27b Genesis 43:32b-44:23a"|"Firk. B19A Leningrad Codex, Folio 27b Genesis 43:32b-44:23a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Genesis"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52212"|"BIB_LENCDX_F028A_T"|"F28a Gen 44:23b-45:16"|"Folio 28a Genesis 44:23b-45:16"|"Firk. B19A Leningrad Codex, Folio 28a Genesis 44:23b-45:16, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Genesis"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52213"|"BIB_LENCDX_F028B_T"|"F28b Gen 45:17-46:16a"|"Folio 28b Genesis 45:17-46:16a"|"Firk. B19A Leningrad Codex, Folio 28b Genesis 45:17-46:16a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Genesis"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52214"|"BIB_LENCDX_F029A_T"|"F29a Gen 46:16b-47:7a"|"Folio 29a Genesis 46:16b-47:7a"|"Firk. B19A Leningrad Codex, Folio 29a Genesis 46:16b-47:7a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Genesis"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52215"|"BIB_LENCDX_F029B_T"|"F29b Gen 47:7b-47:27a"|"Folio 29b Genesis 47:7b-47:27a"|"Firk. B19A Leningrad Codex, Folio 29b Genesis 47:7b-47:27a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Genesis"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52216"|"BIB_LENCDX_F030A_T"|"F30a Gen 47:27b-48:17a"|"Folio 30a Genesis 47:27b-48:17a"|"Firk. B19A Leningrad Codex, Folio 30a Genesis 47:27b-48:17a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Genesis"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52217"|"BIB_LENCDX_F030B_T"|"F30b Gen 48:17b-49:26a"|"Folio 30b Genesis 48:17b-49:26a"|"Firk. B19A Leningrad Codex, Folio 30b Genesis 48:17b-49:26a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Genesis"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52218"|"BIB_LENCDX_F031A_T"|"F31a Gen 49:26b-50:16a"|"Folio 31a Genesis 49:26b-50:16a"|"Firk. B19A Leningrad Codex, Folio 31a Genesis 49:26b-50:16a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Genesis"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52220"|"BIB_LENCDX_F032A_T"|"F32a Exod 1:18b-2:22a"|"Folio 32a Exodus 1:18b-2:22a"|"Firk. B19A Leningrad Codex, Folio 32a Exodus 1:18b-2:22a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Exodus"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52221"|"BIB_LENCDX_F032B_T"|"F32b Exod 2:22b-3:17a"|"Folio 32b Exodus 2:22b-3:17a"|"Firk. B19A Leningrad Codex, Folio 32b Exodus 2:22b-3:17a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Exodus"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52222"|"BIB_LENCDX_F033A_T"|"F33a Exod 3:17b-4:18"|"Folio 33a Exodus 3:17b-4:18"|"Firk. B19A Leningrad Codex, Folio 33a Exodus 3:17b-4:18, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Exodus"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52223"|"BIB_LENCDX_F033B_T"|"F33b Exod 4:19-5:14a"|"Folio 33b Exodus 4:19-5:14a"|"Firk. B19A Leningrad Codex, Folio 33b Exodus 4:19-5:14a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Exodus"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52224"|"BIB_LENCDX_F034A_T"|"F34a Exod 5:14b-6:13"|"Folio 34a Exodus 5:14b-6:13"|"Firk. B19A Leningrad Codex, Folio 34a Exodus 5:14b-6:13, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Exodus"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52225"|"BIB_LENCDX_F034B_T"|"F34b Exod 6:14-7:9a"|"Folio 34b Exodus 6:14-7:9a"|"Firk. B19A Leningrad Codex, Folio 34b Exodus 6:14-7:9a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Exodus"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52226"|"BIB_LENCDX_F035A_T"|"F35a Exod 7:9b-8:3a"|"Folio 35a Exodus 7:9b-8:3a"|"Firk. B19A Leningrad Codex, Folio 35a Exodus 7:9b-8:3a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Exodus"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52227"|"BIB_LENCDX_F035B_T"|"F35b Exod 8:3b-8:25a"|"Folio 35b Exodus 8:3b-8:25a"|"Firk. B19A Leningrad Codex, Folio 35b Exodus 8:3b-8:25a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Exodus"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"ISF_DO_52228"|"BIB_LENCDX_F036A_T"|"F36a Exod 8:25b-9:21a"|"Folio 36a Exodus 8:25b-9:21a"|"Firk. B19A Leningrad Codex, Folio 36a Exodus 8:25b-9:21a, color image"|"Firkovitch B19A"|"ISF_TXT_05008"|"Exodus"|""|""|""|""|""|""|""|""|""|""|""|"Images"|"Firkovitch B19A, Codex L"|"01-06-1990"|"Bruce Zuckerman"|"Kenneth Zuckerman"|""|""|""|"National Library of Russia, St. Petersburg, Russia"|""|""|""|""|"Leningrad Project"|"Firkovitch B19A"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Firkovitch B19A"|"Ancient Biblical Manuscript Center"|""|""|""|""|"4 in. x 5 in."|"1"|"1"|"01-04-2005"|"image/tiff"|""|"1270 ppi"|".sid"|"0.750694444444444"|"MrSID"|"Scanned Photograph"|"Creo EverSmart Supreme II"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"|""|""|""|""|""|""|""|"Hebrew"|"Hebrew"|""|""|""|"Unprovenanced"|"Syro-Palestinian"|"Early Islamic"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
